1,1,0.0055248618784530384,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
7,1,0.03867403314917127,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
7,2,0.03867403314917127,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
7,3,0.03867403314917127,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
7,4,0.03867403314917127,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
8,1,0.04419889502762431,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
8,2,0.04419889502762431,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
8,3,0.04419889502762431,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
8,4,0.04419889502762431,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
9,1,0.049723756906077346,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
9,2,0.049723756906077346,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
9,3,0.049723756906077346,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
9,4,0.049723756906077346,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
10,1,0.055248618784530384,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
10,2,0.055248618784530384,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
10,3,0.055248618784530384,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
10,4,0.055248618784530384,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
11,1,0.06077348066298342,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
11,2,0.06077348066298342,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
11,3,0.06077348066298342,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
11,4,0.06077348066298342,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
12,1,0.06629834254143646,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
12,2,0.06629834254143646,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
12,3,0.06629834254143646,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
12,4,0.06629834254143646,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
13,1,0.0718232044198895,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
13,2,0.0718232044198895,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
13,3,0.0718232044198895,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
13,4,0.0718232044198895,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
14,1,0.07734806629834254,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
14,2,0.07734806629834254,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
14,3,0.07734806629834254,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 15(0)])
14,4,0.07734806629834254,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
15,1,0.08287292817679558,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
15,2,0.08287292817679558,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
15,3,0.08287292817679558,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 15(0)])
15,4,0.08287292817679558,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
16,1,0.08839779005524862,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
16,2,0.08839779005524862,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
16,3,0.08839779005524862,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
16,4,0.08839779005524862,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
17,1,0.09392265193370165,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
17,2,0.09392265193370165,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
17,3,0.09392265193370165,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
17,4,0.09392265193370165,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
18,1,0.09944751381215469,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
18,2,0.09944751381215469,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
18,3,0.09944751381215469,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
18,4,0.09944751381215469,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
19,1,0.10497237569060773,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
19,2,0.10497237569060773,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
19,3,0.10497237569060773,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
19,4,0.10497237569060773,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
20,1,0.11049723756906077,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
20,2,0.11049723756906077,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
20,3,0.11049723756906077,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
20,4,0.11049723756906077,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
21,1,0.11602209944751381,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
21,2,0.11602209944751381,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
21,3,0.11602209944751381,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
21,4,0.11602209944751381,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
22,1,0.12154696132596685,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
22,2,0.12154696132596685,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
22,3,0.12154696132596685,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
22,4,0.12154696132596685,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
23,1,0.1270718232044199,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
23,2,0.1270718232044199,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
23,3,0.1270718232044199,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
23,4,0.1270718232044199,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
24,1,0.13259668508287292,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
24,2,0.13259668508287292,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
24,3,0.13259668508287292,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
24,4,0.13259668508287292,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
25,1,0.13812154696132597,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
25,2,0.13812154696132597,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
25,3,0.13812154696132597,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
25,4,0.13812154696132597,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
26,1,0.143646408839779,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
26,2,0.143646408839779,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
26,3,0.143646408839779,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 13(0)])
26,4,0.143646408839779,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
27,1,0.14917127071823205,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
27,2,0.14917127071823205,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
27,3,0.14917127071823205,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
27,4,0.14917127071823205,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
28,1,0.15469613259668508,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
28,2,0.15469613259668508,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
28,3,0.15469613259668508,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
28,4,0.15469613259668508,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
29,1,0.16022099447513813,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
29,2,0.16022099447513813,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
29,3,0.16022099447513813,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 17(0)])
29,4,0.16022099447513813,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
30,1,0.16574585635359115,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
30,2,0.16574585635359115,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
30,3,0.16574585635359115,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
30,4,0.16574585635359115,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
31,1,0.1712707182320442,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
31,2,0.1712707182320442,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
31,3,0.1712707182320442,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 17(0)])
31,4,0.1712707182320442,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
32,1,0.17679558011049723,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
32,2,0.17679558011049723,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
32,3,0.17679558011049723,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
32,4,0.17679558011049723,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
33,1,0.18232044198895028,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
33,2,0.18232044198895028,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
33,3,0.18232044198895028,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
33,4,0.18232044198895028,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 13(0)])
34,1,0.1878453038674033,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
34,2,0.1878453038674033,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
34,3,0.1878453038674033,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
34,4,0.1878453038674033,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
35,1,0.19337016574585636,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
35,2,0.19337016574585636,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
35,3,0.19337016574585636,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
35,4,0.19337016574585636,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
36,1,0.19889502762430938,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
36,2,0.19889502762430938,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
36,3,0.19889502762430938,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
36,4,0.19889502762430938,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 15(0)])
37,1,0.20441988950276244,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
37,2,0.20441988950276244,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
37,3,0.20441988950276244,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 256GB(0), Monitor: 17(0)])
37,4,0.20441988950276244,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 17(0)])
38,1,0.20994475138121546,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
38,2,0.20994475138121546,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
38,3,0.20994475138121546,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 15(0)])
38,4,0.20994475138121546,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
39,1,0.2154696132596685,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
39,2,0.2154696132596685,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
39,3,0.2154696132596685,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
39,4,0.2154696132596685,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
40,1,0.22099447513812154,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
40,2,0.22099447513812154,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
40,3,0.22099447513812154,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
40,4,0.22099447513812154,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
41,1,0.2265193370165746,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
41,2,0.2265193370165746,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
41,3,0.2265193370165746,RandomParty@50,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 17(0)])
41,4,0.2265193370165746,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
42,1,0.23204419889502761,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
42,2,0.23204419889502761,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
42,3,0.23204419889502761,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
42,4,0.23204419889502761,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 17(0)])
43,1,0.23756906077348067,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
43,2,0.23756906077348067,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
43,3,0.23756906077348067,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 15(0)])
43,4,0.23756906077348067,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 15(0)])
44,1,0.2430939226519337,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
44,2,0.2430939226519337,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
44,3,0.2430939226519337,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 15(0)])
44,4,0.2430939226519337,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
45,1,0.24861878453038674,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
45,2,0.24861878453038674,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
45,3,0.24861878453038674,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 17(0)])
45,4,0.24861878453038674,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 13(0)])
46,1,0.2541436464088398,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
46,2,0.2541436464088398,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
46,3,0.2541436464088398,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
46,4,0.2541436464088398,RandomParty2@51,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 15(0)])
47,1,0.2596685082872928,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
47,2,0.2596685082872928,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
47,3,0.2596685082872928,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 13(0)])
47,4,0.2596685082872928,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 1TB(0), Monitor: 15(0)])
48,1,0.26519337016574585,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
48,2,0.26519337016574585,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
48,3,0.26519337016574585,RandomParty@50,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 512GB(0), Monitor: 17(0)])
48,4,0.26519337016574585,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
49,1,0.27071823204419887,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
49,2,0.27071823204419887,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
49,3,0.27071823204419887,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 256GB(0), Monitor: 13(0)])
49,4,0.27071823204419887,RandomParty2@51,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 1TB(0), Monitor: 13(0)])
50,1,0.27624309392265195,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
50,2,0.27624309392265195,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
50,3,0.27624309392265195,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 1TB(0), Monitor: 13(0)])
50,4,0.27624309392265195,RandomParty2@51,(Offer  bid:Bid[Brand: HP(0), HardDisk: 512GB(0), Monitor: 13(0)])
51,1,0.281767955801105,ExampleAgent@48,(Offer  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
51,2,0.281767955801105,Atlas@49,(Accept  bid:Bid[Brand: Dell(0), HardDisk: 256GB(0), Monitor: 17(0)])
51,3,0.281767955801105,RandomParty@50,(Offer  bid:Bid[Brand: Apple(0), HardDisk: 512GB(0), Monitor: 13(0)])
